Company,Ticker
Adidas,ADS.DE
Airbus,AIR.PA
Allianz,ALV.DE
BASF,BAS.DE
Bayer,BAYN.DE
Beiersdorf,BEI.DE
BMW,BMW.DE
Brenntag,BNR.DE
Commerzbank,CBK.DE
Continental,CON.DE
Covestro,1COV.DE
Daimler Truck,DTG.DE
Deutsche Bank,DBK.DE
Deutsche Börse,DB1.DE
Deutsche Post,DHL.DE
Deutsche Telekom,DTE.DE
E.ON,EOAN.DE
Fresenius,FRE.DE
Fresenius Medical Care,FME.DE
Hannover Re,HNR1.DE
Heidelberg Materials,HEI.DE
Henkel,HEN3.DE
Infineon Technologies,IFX.DE
Mercedes-Benz Group,MBG.DE
Merck,MRK.DE
MTU Aero Engines,MTX.DE
Munich Re,MUV2.DE
Porsche,P911.DE
Porsche SE,PAH3.DE
Qiagen,QIA.DE
Rheinmetall,RHM.DE
RWE,RWE.DE
SAP,SAP.DE
Sartorius,SRT3.DE
Siemens,SIE.DE
Siemens Energy,ENR.DE
Siemens Healthineers,SHL.DE
Symrise,SY1.DE
Volkswagen Group,VOW3.DE
Vonovia,VNA.DE
Zalando,ZAL.DE
