Company,Ticker
3i,III
Admiral Group,ADM
Anglo American plc,AAL
Ashtead Group,AHT
AstraZeneca,AZN
Babcock International,BAB
BAE Systems,BA
BP,BP
Centrica,CNA
Coca-Cola Europacific Partners,CCEP
GSK plc,GSK
Haleon,HLN
ICG,ICG
IHG Hotels & Resorts,IHG
International Airlines Group,IAG
JD Sports,JD
Land Securities,LAND
National Grid plc,NG
NatWest Group,NWG
Next plc,NXT
Persimmon,PSN
Polar Capital Technology Trust,PCT
Prudential plc,PRU
Reckitt,RKT
Rentokil Initial,RTO
Rio Tinto,RIO
Rolls-Royce Holdings,RR
Shell plc,SHEL
Smith & Nephew,SN
Tesco,TSCO
Vodafone Group,VOD
WPP,WPP
