Company,Ticker
Agnico Eagle Mines Limited,AEM
Air Canada,AC
Alamos Gold Inc.,AGI
Algoma Steel Group Inc.,ASTL
Algonquin Power & Utilities Corp.,AQN
ARC Resources Ltd.,ARX
ATS Corporation,ATS
B2Gold Corp.,BTO
Bank of Montreal,BMO
Bank of Nova Scotia,BNS
Bausch Health Companies Inc.,BHC
Baytex Energy Corp.,BTE
BCE Inc.,BCE
BlackBerry Limited,BB
Boralex Inc.,BLX
Boyd Group Services Inc.,BYD
Brookfield Asset Management Ltd.,BAM
Brookfield Corporation,BN
CAE Inc.,CAE
Cameco Corporation,CCO
Canadian Imperial Bank of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Kansas City Limited,CP
Celestica Inc.,CLS
Cenovus Energy Inc.,CVE
Centerra Gold Inc.,CG
Chartwell Retirement Residences,CSH.UN
CI Financial Corp.,CIX
Colliers International Group Inc.,CIGI
CT Real Estate Investment Trust,CRT.UN
Emera Incorporated,EMA
Enbridge Inc.,ENB
Energy Fuels Inc.,EFR
Equinox Gold Corp.,EQX
Ero Copper Corp.,ERO
First Majestic Silver Corp.,AG
First Quantum Minerals Ltd.,FM
FirstService Corporation,FSV
Fortis Inc.,FTS
Franco-Nevada Corporation,FNV
GFL Environmental Inc.,GFL
Gildan Activewear Inc.,GIL
Hudbay Minerals Inc.,HBM
Hydro One Limited,H
iA Financial Corporation Inc.,IAG
Iamgold Corporation,IMG
IGM Financial Inc.,IGM
Imperial Oil Limited,IMO
Jamieson Wellness Inc.,JWEL
Keyera Corp.,KEY
Kinross Gold Corporation,K
Labrador Iron Ore Royalty Corporation,LIF
Laurentian Bank of Canada,LB
Lightspeed Commerce Inc.,LSPD
Loblaw Companies Limited,L
MAG Silver Corp.,MAG
Magna International Inc.,MG
Manulife Financial Corporation,MFC
Maple Leaf Foods Inc.,MFI
MEG Energy Corp.,MEG
Methanex Corporation,MX
National Bank of Canada,nan
New Gold Inc.,NGD
NexGen Energy Ltd.,NXE
NovaGold Resources Inc.,NG
Nutrien Ltd.,NTR
NuVista Energy Ltd.,NVA
Open Text Corporation,OTEX
Osisko Gold Royalties Ltd.,OR
Osisko Mining Inc.,OSK
Pan American Silver Corp.,PAAS
Pason Systems Inc.,PSI
Pembina Pipeline Corporation,PPL
Peyto Exploration & Development Corp.,PEY
Power Corporation of Canada,POW
Precision Drilling Corporation,PD
Premium Brands Holdings Corporation,PBH
Restaurant Brands International Inc.,QSR
Royal Bank of Canada,RY
Sandstorm Gold Ltd.,SSL
Saputo Inc.,SAP
Secure Energy Services Inc.,SES
Shopify Inc.,SHOP
South Bow Corporation,SOBO
Sprott Inc.,SII
SSR Mining Inc.,SSRM
Stantec Inc.,STN
Stella-Jones Inc.,SJ
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
Superior Plus Corp.,SPB
Tamarack Valley Energy Ltd.,TVE
TC Energy Corporation,TRP
Telus Corporation,T
TFI International Inc.,TFII
Thomson Reuters Corporation,TRI
Tilray Brands Inc.,TLRY
Topaz Energy Corp.,TPZ
Torex Gold Resources Inc.,TXG
Toronto-Dominion Bank,TD
Triple Flag Precious Metals Corp.,TFPM
Vermilion Energy Inc.,VET
Waste Connections Inc.,WCN
West Fraser Timber Co. Ltd.,WFG
Wheaton Precious Metals Corp.,WPM
