Company Name,Company Ticker
3i,III.L
Admiral Group,ADM.L
Airtel Africa,AAF.L
Alliance Witan,ALW.L
Anglo American plc,AAL.L
Antofagasta plc,ANTO.L
Ashtead Group,AHT.L
Associated British Foods,ABF.L
AstraZeneca,AZN.L
Auto Trader Group,AUTO.L
Aviva,AV.L
Babcock International,BAB.L
BAE Systems,BA.L
Barclays,BARC.L
Barratt Redrow,BTRW.L
Beazley,BEZ.L
Berkeley Group Holdings,BKG.L
BP,BP.L
British American Tobacco,BATS.L
BT Group,BT-A.L
Bunzl,BNZL.L
Burberry Group,BRBY.L
Centrica,CNA.L
Coca-Cola Europacific Partners,CCEP.L
Coca-Cola HBC,CCH.L
Compass Group,CPG.L
Convatec,CTEC.L
Croda International,CRDA.L
DCC plc,DCC.L
Diageo,DGE.L
Diploma,DPLM.L
Endeavour Mining,EDV.L
Entain,ENT.L
EasyJet,EZJ.L
Experian,EXPN.L
F & C Investment Trust,FCIT.L
Fresnillo plc,FRES.L
Games Workshop,GAW.L
Glencore,GLEN.L
GSK plc,GSK.L
Haleon,HLN.L
Halma plc,HLMA.L
Hikma Pharmaceuticals,HIK.L
Hiscox,HSX.L
Howdens Joinery,HWDN.L
HSBC,HSBA.L
ICG,ICG.L
IHG Hotels & Resorts,IHG.L
IMI,IMI.L
Imperial Brands,IMB.L
Informa,INF.L
International Airlines Group,IAG.L
Intertek,ITRK.L
JD Sports,JD.L
Kingfisher plc,KGF.L
Land Securities,LAND.L
Legal & General,LGEN.L
Lloyds Banking Group,LLOY.L
LondonMetric Property,LMP.L
London Stock Exchange Group,LSEG.L
M&G,MNG.L
Marks & Spencer,MKS.L
Melrose Industries,MRO.L
Metlen Energy & Metals,MTLN.L
Mondi,MNDI.L
National Grid plc,NG.L
NatWest Group,NWG.L
Next plc,NXT.L
Pearson plc,PSON.L
Pershing Square Holdings,PSH.L
Persimmon,PSN.L
Phoenix Group,PHNX.L
Polar Capital Technology Trust,PCT.L
Prudential plc,PRU.L
Reckitt,RKT.L
RELX,REL.L
Rentokil Initial,RTO.L
Rightmove,RMV.L
Rio Tinto,RIO.L
Rolls-Royce Holdings,RR.L
Sage Group,SGE.L
Sainsbury's,SBRY.L
Schroders,SDR.L
Scottish Mortgage Investment Trust,SMT.L
Segro,SGRO.L
Severn Trent,SVT.L
Shell plc,SHEL.L
Smiths Group,SMIN.L
Smith & Nephew,SN.L
Spirax Group,SPX.L
SSE plc,SSE.L
Standard Chartered,STAN.L
St. James's Place,STJ.L
Tesco,TSCO.L
Unilever,ULVR.L
United Utilities,UU.L
Vodafone Group,VOD.L
Weir Group,WEIR.L
Whitbread,WTB.L
WPP,WPP.L
