Company Name,Company Ticker
ABB India,ABB.NS
Adani Energy Solutions,ADANIENSOL.NS
Adani Green Energy,ADANIGREEN.NS
Adani Power,ADANIPOWER.NS
Ambuja Cements,AMBUJACEM.NS
Bajaj Holdings,BAJAJHLDNG.NS
Bajaj Housing Finance,BAJAJHFL.NS
Bank of Baroda,BANKBARODA.NS
Bharat Petroleum,BPCL.NS
Britannia Industries,BRITANNIA.NS
Bosch,BOSCHLTD.NS
Canara Bank,CANBK.NS
CG Power and Industrial Solutions,CGPOWER.NS
Cholamandalam,CHOLAFIN.NS
Divi's Laboratories,DIVISLAB.NS
DLF,DLF.NS
DMart,DMART.NS
GAIL,GAIL.NS
Godrej Consumer Products,GODREJCP.NS
Havells,HAVELLS.NS
Hindustan Aeronautics,HAL.NS
Hindustan Zinc,HINDZINC.NS
Hyundai Motor India,HYUNDAI.NS
ICICI Lombard General Insurance,ICICIGI.NS
Indian Hotels Company,INDHOTEL.NS
Indian Oil Corporation,IOC.NS
Info Edge,NAUKRI.NS
IRFC,IRFC.NS
Jindal Steel,JINDALSTEL.NS
JSW Energy,JSWENERGY.NS
Life Insurance Corporation,LICI.NS
Lodha,LODHA.NS
LTIMindtree,LTIM.NS
Mazagon Dock Shipbuilders,MAZDOCK.NS
Pidilite Industries,PIDILITIND.NS
Power Finance Corporation,PFC.NS
Punjab National Bank,PNB.NS
REC,RECLTD.NS
Samvardhana Motherson,MOTHERSON.NS
Shree Cement,SHREECEM.NS
Siemens,SIEMENS.NS
Siemens Energy,ENRIN.NS
Solar Industries,SOLARINDS.NS
Tata Power,TATAPOWER.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
TVS Motor Company,TVSMOTOR.NS
United Spirits,UNITDSPR.NS
Varun Beverages,VBL.NS
Vedanta,VEDL.NS
Zydus Lifesciences,ZYDUSLIFE.NS
