Company Name,Company Ticker
3i Infrastructure,3IN
4imprint,FOUR
Aberdeen Group,ABDN
Aberforth Smaller Companies Trust,ASL
Abrdn Asia Focus,AAS
Alfa Financial Software,ALFA
Allianz Technology Trust,ATT
Anglo-Eastern Plantations,AEP
AO World,AO
Ashmore Group,ASHM
Ashoka India Equity Investment Trust,AIE
Aston Martin Lagonda,AML
Atalaya Mining,ATYM
AVI Global Trust,AGT
Avon Technologies,AVON
B&M,BME
Baillie Gifford Japan Trust,BGFD
Baillie Gifford US Growth Trust,USA
Bakkavör,BAKK
Balfour Beatty,BBY
Baltic Classifieds,BCG
Bankers Investment Trust,BNKR
A.G. Barr,BAG
AJ Bell,AJB
Bellway,BWY
BH Macro,BHMG
Big Yellow Group,BYG
Biopharma Credit,BPCR
BlackRock Greater Europe Investment Trust,BRGE
BlackRock Smaller Companies Trust,BRSC
BlackRock Throgmorton Trust,THRG
BlackRock World Mining Trust,BRWM
Bluefield Solar Income Fund,BSIF
Bodycote,BOY
Breedon Group,BREE
Bridgepoint Group,BPT
British Land,BLND
Brunner Investment Trust,BUT
Bytes Technology Group,BYIT
C&C Group,CCR
Caledonia Investments,CLDN
Capital Gearing Trust,CGT
Carnival Corporation & plc,CCL
Ceres Power,CWR
Chemring Group,CHG
Chesnara,CSN
Chrysalis Investments,CHRY
City of London Investment Trust,CTY
Clarkson,CKN
Close Brothers Group,CBG
CMC Markets,CMCX
Coats Group,COA
Computacenter,CCC
Cranswick,CWK
Currys,CURY
Derwent London,DLN
discoverIE,DSCV
Diversified Energy,DEC
Domino's Pizza,DOM
Dowlais Group,DWL
Drax Group,DRX
Dr. Martens,DOCS
Dunelm Group,DNLM
Edinburgh Investment Trust,EDIN
Edinburgh Worldwide Investment Trust,EWI
Elementis,ELM
Empiric Student Property,ESP
Energean,ENOG
European Opportunities Trust,EOT
European Smaller Companies Trust,ESCT
Fidelity China Special Situations,FCSS
Fidelity Emerging Markets,FEML
Fidelity European Trust,FEV
Fidelity Special Values,FSV
Finsbury Growth & Income Trust,FGT
FirstGroup,FGP
Foresight Environmental Infrastructure,FGEN
Foresight Group,FSG
Foresight Solar Fund,FSFL
Frasers Group,FRAS
Galliford Try,GFRD
Future,FUTR
Gamma Communications,GAMA
GCP Infrastructure Investments,GCP
Genuit Group,GEN
Genus,GNS
Global Smaller Companies Trust,GSCT
Goodwin,GDWN
Grafton Group,GFTU
Grainger,GRI
Great Portland Estates,GPE
Greencoat UK Wind,UKW
Greencore,GNC
Greggs,GRG
Hammerson,HMSO
Harbour Energy,HBR
HarbourVest Global Private Equity,HVPE
Harworth Group,HWG
Hays,HAS
Helios Towers,HTWS
Henderson Smaller Companies Investment Trust,HSL
Herald Investment Trust,HRI
Hg Capital Trust,HGT
HICL Infrastructure Company,HICL
Hill & Smith,HILS
Hilton Food Group,HFG
Hochschild Mining,HOC
Hollywood Bowl Group,BOWL
Hunting,HTG
Ibstock,IBST
ICG Enterprise Trust,ICGT
IG Group Holdings,IGG
Impax Environmental Markets,IEM
Inchcape,INCH
IntegraFin Holdings,IHP
International Personal Finance,IPF
International Public Partnerships,INPP
International Workplace Group,IWG
Invesco Asia Dragon Trust,IAD
Investec,INVP
IP Group,IPO
Ithaca Energy,ITH
ITV,ITV
Johnson Matthey,JMAT
Johnson Service Group,JSG
JPMorgan American Investment Trust,JAM
JPMorgan Emerging Markets Investment Trust,JMG
JPMorgan European Discovery,JEDT
JPMorgan European Growth & Income,JEGI
JPMorgan Global Growth & Income,JGGI
JPMorgan Indian Investment Trust,JII
JPMorgan Japanese Investment Trust,JFJ
JTC,JTC
Jupiter Fund Management,JUP
Just Group,JUST
Kainos,KNOS
Keller Group,KLR
Kier Group,KIE
Lancashire Holdings,LRE
Law Debenture,LWDB
Lion Finance Group,BGEO
Man Group,EMG
Marshalls,MSLH
ME Group International,MEGP
Mercantile Investment Trust,MRC
Merchants Trust,MRCH
Metro Bank,MTRO
Mitchells & Butlers,MAB
Mitie,MTO
Molten Ventures,GROW
Monks Investment Trust,MNKS
MONY Group,MONY
Moonpig,MOON
Morgan Advanced Materials,MGAM
Morgan Sindall Group,MGNS
Murray Income Trust,MUT
Murray International Trust,MYI
NB Private Equity Partners,NBPE
NCC Group,NCC
Ninety One,N91
North Atlantic Smaller Companies Investment Trust,NAS
Oakley Capital Investments,OCI
Ocado Group,OCDO
OSB Group,OSB
Oxford Biomedica,OXB
Oxford Instruments,OXIG
Oxford Nanopore Technologies,ONT
Pacific Horizon Investment Trust,PHI
PageGroup,PAGE
Pantheon Infrastructure,PINT
Pantheon International,PIN
Paragon Banking Group,PAG
Partners Group Private Equity,PEY
Patria Private Equity Trust,PPET
PayPoint,PAY
Pennon Group,PNN
Personal Assets Trust,PNL
Petershill Partners,PHLL
Pets at Home,PETS
Pinewood Technologies,PINE
Playtech,PTEC
Plus500,PLUS
Pollen Street Group,POLN
PPHE Hotel Group,PPH
Premier Foods,PFD
Primary Health Properties,PHP
PRS REIT,PRSR
Qinetiq,QQ
Quilter,QLT
Rank Group,RNK
Raspberry Pi Holdings,RPI
Rathbones,RAT
Renishaw,RSW
RHI Magnesita,RHIM
RIT Capital Partners,RCP
Rotork,ROR
RS Group,RS1
Ruffer Investment Company,RICA
Safestore,SAFE
Savills,SVS
Schroder Asian Total Return Investment Company,ATR
Schroder AsiaPacific Fund,SDP
Schroder Oriental Income Fund,SOI
Scottish American Investment Company,SAIN
SDCL Energy Efficiency Income Trust,SEIT
Senior,SNR
Sequoia Economic Infrastructure Income Fund,SEQI
Serco,SRP
Shaftesbury Capital,SHC
Sirius Real Estate,SRE
Smithson Investment Trust,SSON
Softcat,SCT
Spectris,SXS
Spire Healthcare,SPI
SSP Group,SSPG
Supermarket Income REIT,SUPR
Syncona,SYNC
Target Healthcare REIT,THRL
Tate & Lyle,TATE
Taylor Wimpey,TW
TBC Bank,TBCG
Telecom Plus,TEP
Temple Bar Investment Trust,TMPL
Templeton Emerging Markets Investment Trust,TEM
The Renewables Infrastructure Group,TRIG
THG,THG
TP ICAP,TCAP
Trainline,TRN
Travis Perkins,TPK
Tritax Big Box REIT,BBOX
TR Property Investment Trust,TRY
Trustpilot,TRST
Twentyfour Income Fund,TFIF
Unite Group,UTG
Vesuvius,VSVS
Victrex,VCT
Vietnam Enterprise Investments,VEIL
VinaCapital Vietnam Opportunity Fund,VOF
Vistry Group,VTY
Volution Group,FAN
W. A. G. Payment Solutions,WPS
Watches of Switzerland,WOSG
Wetherspoon (J D),JDW
W H Smith,SMWH
Wickes,WIX
Wizz Air,WIZZ
Workspace Group,WKP
Worldwide Healthcare Trust,WWH
XPS Pensions,XPS
Zigup,ZIG
