Company Name,Company Ticker
ALAMOS GOLD INC.,AGI
ANGLOGLD ASHANTI ORD,AU
B2GOLD CORP,BTG
BARRICK MINING CORPO,B
BUENAVENTURA MINING,BVN
CENTERRA GOLD INC.,CGAU
"COEUR MINING, INC.",CDE
D/B/A SIBANYE-STLWTR,SBSW
ELDORADO GOLD CORP,EGO
FIRST MAJESTIC SILVE,AG
FRANCO-NEV CORP,FNV
FREEPORT MCMORAN,FCX
GOLD FIELDS LIMITED,GFI
HARMONY GOLD MINING,HMY
HECLA MINING CO,HL
IAMGOLD CORPORATION,IAG
KINROSS GOLD CP,KGC
MCEWEN MINING INC.,MUX
NEW GOLD INC,NGD
NEWMONT CP,NEM
NOVAGOLD RESOURCES I,NG
OR ROYALTIES INC.,OR
PAN AMER SILVER CORP,PAAS
PERPETUA RSRC CMN SH,PPTA
"ROYAL GOLD, INC.",RGLD
SANDSTORM GOLD LTD.,SAND
SEABRIDGE GOLD INC,SA
SSR MINING INC,SSRM
WHEATON PRECIOUS MTL,WPM
